,layer,pos,prob
0,0,0,0.04393080249428749
1,0,1,0.03189188241958618
2,0,2,0.04512915015220642
3,0,3,0.017912136390805244
4,0,4,0.020591918379068375
5,0,5,0.019230669364333153
6,0,6,0.01991163194179535
7,1,0,0.018138227984309196
8,1,1,0.02631165273487568
9,1,2,0.04631424695253372
10,1,3,0.018802568316459656
11,1,4,0.02091827802360058
12,1,5,0.019640259444713593
13,1,6,0.02097727358341217
14,2,0,0.01833958923816681
15,2,1,0.023654107004404068
16,2,2,0.0481976717710495
17,2,3,0.01930784247815609
18,2,4,0.020986218005418777
19,2,5,0.020109873265028
20,2,6,0.021012689918279648
21,3,0,0.01838347129523754
22,3,1,0.02354653924703598
23,3,2,0.047710105776786804
24,3,3,0.019234146922826767
25,3,4,0.02068638801574707
26,3,5,0.019904954358935356
27,3,6,0.022345418110489845
28,4,0,0.018406765535473824
29,4,1,0.021584488451480865
30,4,2,0.04448571428656578
31,4,3,0.01937350258231163
32,4,4,0.020497573539614677
33,4,5,0.01937211863696575
34,4,6,0.023521654307842255
35,5,0,0.018318606540560722
36,5,1,0.02106689289212227
37,5,2,0.03939451649785042
38,5,3,0.01940605789422989
39,5,4,0.020323073491454124
40,5,5,0.019798504188656807
41,5,6,0.025176774710416794
42,6,0,0.01833718828856945
43,6,1,0.01999867707490921
44,6,2,0.037547968327999115
45,6,3,0.019493678584694862
46,6,4,0.020991351455450058
47,6,5,0.019618479534983635
48,6,6,0.026401562616229057
49,7,0,0.018332451581954956
50,7,1,0.019835932180285454
51,7,2,0.03515876829624176
52,7,3,0.019253574311733246
53,7,4,0.02074710838496685
54,7,5,0.01939437910914421
55,7,6,0.027114620432257652
56,8,0,0.01839616894721985
57,8,1,0.019891910254955292
58,8,2,0.03436841443181038
59,8,3,0.019187936559319496
60,8,4,0.020292315632104874
61,8,5,0.019786901772022247
62,8,6,0.02726241946220398
63,9,0,0.018469257280230522
64,9,1,0.019238825887441635
65,9,2,0.02661772258579731
66,9,3,0.01891160197556019
67,9,4,0.020047908648848534
68,9,5,0.019645771011710167
69,9,6,0.04449598863720894
70,10,0,0.018548447638750076
71,10,1,0.019017493352293968
72,10,2,0.021061396226286888
73,10,3,0.018565209582448006
74,10,4,0.020076872780919075
75,10,5,0.019592279568314552
76,10,6,0.056472890079021454
77,11,0,0.01851920783519745
78,11,1,0.01851920783519745
79,11,2,0.01851920783519745
80,11,3,0.01851920783519745
81,11,4,0.01851920783519745
82,11,5,0.01851920783519745
83,11,6,0.08052342385053635
